 ZONE T="dp=0kPa"
 STRANDID=0, SOLUTIONTIME=0
 I=40002, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE ) 
 1.041700000E-001 -1.412078797E-001
 1.041800000E-001 -1.465223777E-001
 1.041900000E-001 -1.486159678E-001
 1.042000000E-001 -1.478107408E-001
 1.042100000E-001 -1.460392415E-001
 1.042200000E-001 -1.524810572E-001
 1.042300000E-001 -1.466834231E-001
 1.042400000E-001 -1.503874671E-001
 1.042500000E-001 -1.532862842E-001
 1.042600000E-001 -1.574734644E-001
 1.042700000E-001 -1.524810572E-001
 1.042800000E-001 -1.560240558E-001
 1.042900000E-001 -1.523200118E-001
 1.043000000E-001 -1.618216900E-001
 1.043100000E-001 -1.623048262E-001
 1.043200000E-001 -1.594060091E-001
 1.043300000E-001 -1.613385538E-001
 1.043400000E-001 -1.614995992E-001
 1.043500000E-001 -1.624658716E-001
 1.043600000E-001 -1.574734644E-001
 1.043700000E-001 -1.594060091E-001
 1.043800000E-001 -1.603722814E-001
 1.043900000E-001 -1.626269169E-001
 1.044000000E-001 -1.664920064E-001
 1.044100000E-001 -1.690687327E-001
 1.044200000E-001 -1.642373709E-001
 1.044300000E-001 -1.661699156E-001
 1.044400000E-001 -1.706791866E-001
 1.044500000E-001 -1.672972334E-001
 1.044600000E-001 -1.716454590E-001
 1.044700000E-001 -1.718065044E-001
 1.044800000E-001 -1.713233682E-001
 1.044900000E-001 -1.719675498E-001
 1.045000000E-001 -1.739000945E-001
 1.045100000E-001 -1.714844136E-001
 1.045200000E-001 -1.764768208E-001
 1.045300000E-001 -1.703570958E-001
 1.045400000E-001 -1.753495030E-001
 1.045500000E-001 -1.735780037E-001
 1.045600000E-001 -1.745442761E-001
 1.045700000E-001 -1.756715938E-001
 1.045800000E-001 -1.776041385E-001
 1.045900000E-001 -1.751884576E-001
 1.046000000E-001 -1.769599570E-001
 1.046100000E-001 -1.764768208E-001
 1.046200000E-001 -1.821134096E-001
 1.046300000E-001 -1.814692280E-001
 1.046400000E-001 -1.801808649E-001
 1.046500000E-001 -1.808250464E-001
 1.046600000E-001 -1.840459543E-001
 1.046700000E-001 -1.854953629E-001
 1.046800000E-001 -1.796977287E-001
 1.046900000E-001 -1.861395444E-001
 1.047000000E-001 -1.825965458E-001
 1.047100000E-001 -1.814692280E-001
 1.047200000E-001 -1.835628181E-001
 1.047300000E-001 -1.859784990E-001
 1.047400000E-001 -1.858174536E-001
 1.047500000E-001 -1.887162707E-001
 1.047600000E-001 -1.824355004E-001
 1.047700000E-001 -1.911319517E-001
 1.047800000E-001 -1.859784990E-001
 1.047900000E-001 -1.904877701E-001
 1.048000000E-001 -1.891994069E-001
 1.048100000E-001 -1.943528596E-001
 1.048200000E-001 -1.904877701E-001
 1.048300000E-001 -1.937086780E-001
 1.048400000E-001 -1.924203148E-001
 1.048500000E-001 -1.987010852E-001
 1.048600000E-001 -1.954801773E-001
 1.048700000E-001 -1.940307688E-001
 1.048800000E-001 -1.943528596E-001
 1.048900000E-001 -1.933865872E-001
 1.049000000E-001 -1.945139050E-001
 1.049100000E-001 -1.995063122E-001
 1.049200000E-001 -1.927424056E-001
 1.049300000E-001 -1.964464497E-001
 1.049400000E-001 -1.982179490E-001
 1.049500000E-001 -1.970906313E-001
 1.049600000E-001 -1.966074951E-001
 1.049700000E-001 -2.009557208E-001
 1.049800000E-001 -2.022440839E-001
 1.049900000E-001 -2.003115392E-001
