TITLE     = "Versuch_10 | Versuch_10"
VARIABLES = "Time [s]"
"Kalibrator [Pa]"
"Kapazitiv 2 [mm]"
"Strom [A]"
"Cavity Pressure [Pa]"
ZONE T="Referenz_01"
 STRANDID=0, SOLUTIONTIME=0
 I=9, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE SINGLE SINGLE DOUBLE )
 PASSIVEVARLIST=[3-4]
 4.000400450E-001 8.724320000E+003 -1.596000000E+003
 4.500450506E-001 8.724290000E+003 -1.596000000E+003
 5.000500563E-001 8.724320000E+003 -1.596000000E+003
 5.500550619E-001 8.724360000E+003 -1.596000000E+003
 6.000600675E-001 8.724420000E+003 -1.596000000E+003
 6.500650732E-001 8.724400000E+003 -1.596000000E+003
 7.000700788E-001 8.724460000E+003 -1.596000000E+003
 7.500750844E-001 8.724590000E+003 -1.596000000E+003
 8.000800900E-001 8.724630000E+003 -1.596000000E+003
ZONE T="Sensoren_01"
 STRANDID=0, SOLUTIONTIME=0
 I=40002, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE SINGLE DOUBLE DOUBLE DOUBLE )
 PASSIVEVARLIST=[2]
 4.010100000E-001 3.254993055E+000 -6.201729974E+001 8.695857958E+003
 4.010200000E-001 3.251289007E+000 -6.202052069E+001 8.705004988E+003
 4.010300000E-001 3.254187827E+000 -6.201729974E+001 8.706604468E+003
 4.010400000E-001 3.252416326E+000 -6.201729974E+001 8.701356173E+003
 4.010500000E-001 3.252577372E+000 -6.202052069E+001 8.712352602E+003
 4.010600000E-001 3.252094235E+000 -6.202052069E+001 8.707554160E+003
 4.010700000E-001 3.254026781E+000 -6.201407878E+001 8.702455816E+003
 4.010800000E-001 3.250644825E+000 -6.202052069E+001 8.713902099E+003
 4.010900000E-001 3.256281419E+000 -6.201407878E+001 8.705554809E+003
 4.011000000E-001 3.251933189E+000 -6.201729974E+001 8.711552862E+003
 4.011100000E-001 3.253060508E+000 -6.201729974E+001 8.714102034E+003
 4.011200000E-001 3.252094235E+000 -6.201729974E+001 8.695258153E+003
 4.011300000E-001 3.252416326E+000 -6.201729974E+001 8.703155588E+003
 4.011400000E-001 3.253221554E+000 -6.201729974E+001 8.704955004E+003
 4.011500000E-001 3.253543645E+000 -6.202374165E+001 8.696207844E+003
 4.011600000E-001 3.250805871E+000 -6.201407878E+001 8.707854063E+003
 4.011700000E-001 3.255959328E+000 -6.202374165E+001 8.702205897E+003
 4.011800000E-001 3.250644825E+000 -6.202052069E+001 8.704705085E+003
 4.011900000E-001 3.253543645E+000 -6.201729974E+001 8.711003040E+003
 4.012000000E-001 3.252255280E+000 -6.201407878E+001 8.712302618E+003
 4.012100000E-001 3.250322734E+000 -6.201729974E+001 8.707804079E+003
 4.012200000E-001 3.251450053E+000 -6.202374165E+001 8.706554485E+003
 4.012300000E-001 3.253543645E+000 -6.201729974E+001 8.712752472E+003
 4.012400000E-001 3.251450053E+000 -6.202374165E+001 8.709253608E+003
 4.012500000E-001 3.252094235E+000 -6.201729974E+001 8.701006286E+003
 4.012600000E-001 3.250483780E+000 -6.202052069E+001 8.700956302E+003
 4.012700000E-001 3.253543645E+000 -6.201407878E+001 8.707004339E+003
 4.012800000E-001 3.251611098E+000 -6.201407878E+001 8.705004988E+003
 4.012900000E-001 3.255476191E+000 -6.201729974E+001 8.701706059E+003
 4.013000000E-001 3.253382599E+000 -6.202052069E+001 8.713902099E+003
 4.013100000E-001 3.255154100E+000 -6.202052069E+001 8.707554160E+003
 4.013200000E-001 3.250966916E+000 -6.202374165E+001 8.709853413E+003
 4.013300000E-001 3.254993055E+000 -6.201407878E+001 8.711852764E+003
 4.013400000E-001 3.253382599E+000 -6.201729974E+001 8.696707682E+003
 4.013500000E-001 3.254187827E+000 -6.202374165E+001 8.715751498E+003
 4.013600000E-001 3.249678552E+000 -6.201729974E+001 8.729147148E+003
 4.013700000E-001 3.251611098E+000 -6.202374165E+001 8.698607065E+003
 4.013800000E-001 3.253060508E+000 -6.202052069E+001 8.699606741E+003
 4.013900000E-001 3.254670964E+000 -6.202052069E+001 8.703505475E+003
 4.014000000E-001 3.250966916E+000 -6.201407878E+001 8.706404533E+003
 4.014100000E-001 3.254993055E+000 -6.202052069E+001 8.708004014E+003
 4.014200000E-001 3.248390187E+000 -6.201729974E+001 8.710903073E+003
 4.014300000E-001 3.255315146E+000 -6.202374165E+001 8.705404858E+003
 4.014400000E-001 3.252899463E+000 -6.202374165E+001 8.712502553E+003
 4.014500000E-001 3.253382599E+000 -6.201729974E+001 8.710653154E+003
 4.014600000E-001 3.249678552E+000 -6.202052069E+001 8.710103332E+003
 4.014700000E-001 3.251289007E+000 -6.202374165E+001 8.709503527E+003
 4.014800000E-001 3.255959328E+000 -6.201729974E+001 8.697357471E+003
 4.014900000E-001 3.254993055E+000 -6.201729974E+001 8.714751823E+003
 4.015000000E-001 3.250322734E+000 -6.202052069E+001 8.714052050E+003
 4.015100000E-001 3.253221554E+000 -6.202052069E+001 8.708453868E+003
 4.015200000E-001 3.254348873E+000 -6.202374165E+001 8.707954030E+003
 4.015300000E-001 3.249839597E+000 -6.202374165E+001 8.710953056E+003
 4.015400000E-001 3.255959328E+000 -6.202374165E+001 8.712402586E+003
 4.015500000E-001 3.251611098E+000 -6.202052069E+001 8.698956952E+003
 4.015600000E-001 3.253221554E+000 -6.201729974E+001 8.708553835E+003
 4.015700000E-001 3.250966916E+000 -6.202052069E+001 8.711402910E+003
 4.015800000E-001 3.252899463E+000 -6.202052069E+001 8.705254907E+003
 4.015900000E-001 3.251611098E+000 -6.202052069E+001 8.702055945E+003
 4.016000000E-001 3.251772144E+000 -6.202052069E+001 8.715451595E+003
 4.016100000E-001 3.252094235E+000 -6.202052069E+001 8.713302293E+003
 4.016200000E-001 3.252094235E+000 -6.201407878E+001 8.710453219E+003
 4.016300000E-001 3.252255280E+000 -6.201407878E+001 8.704205247E+003
 4.016400000E-001 3.255476191E+000 -6.202052069E+001 8.718200703E+003
 4.016500000E-001 3.251127962E+000 -6.202052069E+001 8.715501579E+003
 4.016600000E-001 3.253060508E+000 -6.202374165E+001 8.717600898E+003
 4.016700000E-001 3.256120374E+000 -6.202052069E+001 8.710303267E+003
 4.016800000E-001 3.253060508E+000 -6.201729974E+001 8.714052050E+003
 4.016900000E-001 3.252094235E+000 -6.201729974E+001 8.714052050E+003
 4.017000000E-001 3.252255280E+000 -6.202052069E+001 8.715051725E+003
 4.017100000E-001 3.253704690E+000 -6.202052069E+001 8.707104306E+003
 4.017200000E-001 3.250966916E+000 -6.202696260E+001 8.713852115E+003
 4.017300000E-001 3.253382599E+000 -6.202374165E+001 8.712152667E+003
 4.017400000E-001 3.252094235E+000 -6.202374165E+001 8.712652504E+003
 4.017500000E-001 3.252094235E+000 -6.202374165E+001 8.713502228E+003
 4.017600000E-001 3.254509918E+000 -6.202052069E+001 8.706054647E+003
 4.017700000E-001 3.252094235E+000 -6.202052069E+001 8.712202651E+003
 4.017800000E-001 3.253221554E+000 -6.202374165E+001 8.717051076E+003
 4.017900000E-001 3.254348873E+000 -6.202374165E+001 8.713552212E+003
 4.018000000E-001 3.253543645E+000 -6.202052069E+001 8.717001092E+003
 4.018100000E-001 3.254187827E+000 -6.202052069E+001 8.709053673E+003
 4.018200000E-001 3.252738417E+000 -6.201085783E+001 8.721349680E+003
 4.018300000E-001 3.251772144E+000 -6.202052069E+001 8.708203949E+003
 4.018400000E-001 3.254348873E+000 -6.202374165E+001 8.713602196E+003
 4.018500000E-001 3.250805871E+000 -6.202052069E+001 8.707154290E+003
 4.018600000E-001 3.253865736E+000 -6.202374165E+001 8.717600898E+003
 4.018700000E-001 3.251289007E+000 -6.202374165E+001 8.707254257E+003
 4.018800000E-001 3.250966916E+000 -6.202052069E+001 8.704105280E+003
 4.018900000E-001 3.256442465E+000 -6.202374165E+001 8.705304890E+003
 4.019000000E-001 3.254187827E+000 -6.202374165E+001 8.708053998E+003
 4.019100000E-001 3.251289007E+000 -6.202374165E+001 8.715051725E+003
 4.019200000E-001 3.252738417E+000 -6.202374165E+001 8.711902748E+003
 4.019300000E-001 3.254832009E+000 -6.202374165E+001 8.711103008E+003
 4.019400000E-001 3.252416326E+000 -6.202374165E+001 8.712152667E+003
 4.019500000E-001 3.254026781E+000 -6.201407878E+001 8.716151368E+003
 4.019600000E-001 3.251127962E+000 -6.202374165E+001 8.720300021E+003
 4.019700000E-001 3.254187827E+000 -6.202374165E+001 8.712802456E+003
 4.019800000E-001 3.250966916E+000 -6.202374165E+001 8.711852764E+003
 4.019900000E-001 3.252899463E+000 -6.202374165E+001 8.734895282E+003
 4.020000000E-001 3.251933189E+000 -6.202052069E+001 8.706504501E+003
 4.020100000E-001 3.251772144E+000 -6.202052069E+001 8.718500605E+003
 4.020200000E-001 3.251611098E+000 -6.203018355E+001 8.714451920E+003
 4.020300000E-001 3.253704690E+000 -6.202374165E+001 8.720300021E+003
 4.020400000E-001 3.253221554E+000 -6.201729974E+001 8.719300346E+003
 4.020500000E-001 3.253704690E+000 -6.202374165E+001 8.709153641E+003
 4.020600000E-001 3.251772144E+000 -6.202374165E+001 8.712452569E+003
 4.020700000E-001 3.253382599E+000 -6.202374165E+001 8.721699567E+003
 4.020800000E-001 3.251933189E+000 -6.202374165E+001 8.726747927E+003
 4.020900000E-001 3.254026781E+000 -6.202696260E+001 8.707854063E+003
 4.021000000E-001 3.251289007E+000 -6.202374165E+001 8.724248739E+003
 4.021100000E-001 3.253704690E+000 -6.202052069E+001 8.716501255E+003
 4.021200000E-001 3.250966916E+000 -6.202374165E+001 8.709403559E+003
 4.021300000E-001 3.258213966E+000 -6.202696260E+001 8.711802780E+003
 4.021400000E-001 3.251289007E+000 -6.201729974E+001 8.715351628E+003
 4.021500000E-001 3.253865736E+000 -6.202052069E+001 8.721699567E+003
 4.021600000E-001 3.250483780E+000 -6.202052069E+001 8.716851141E+003
 4.021700000E-001 3.252577372E+000 -6.202374165E+001 8.709503527E+003
 4.021800000E-001 3.252577372E+000 -6.201729974E+001 8.716751173E+003
 4.021900000E-001 3.254026781E+000 -6.202374165E+001 8.708103981E+003
 4.022000000E-001 3.252416326E+000 -6.202374165E+001 8.707554160E+003
 4.022100000E-001 3.252094235E+000 -6.202052069E+001 8.708753770E+003
 4.022200000E-001 3.251289007E+000 -6.202374165E+001 8.712602521E+003
 4.022300000E-001 3.250161688E+000 -6.202052069E+001 8.722549291E+003
 4.022400000E-001 3.251450053E+000 -6.202374165E+001 8.710703137E+003
 4.022500000E-001 3.254509918E+000 -6.202374165E+001 8.714551888E+003
 4.022600000E-001 3.252094235E+000 -6.201729974E+001 8.726048154E+003
 4.022700000E-001 3.253865736E+000 -6.202374165E+001 8.721199729E+003
 4.022800000E-001 3.253221554E+000 -6.202696260E+001 8.719800183E+003
 4.022900000E-001 3.252899463E+000 -6.202374165E+001 8.727347732E+003
 4.023000000E-001 3.253865736E+000 -6.202374165E+001 8.714301969E+003
 4.023100000E-001 3.253060508E+000 -6.202052069E+001 8.722849193E+003
 4.023200000E-001 3.251933189E+000 -6.202374165E+001 8.725048479E+003
 4.023300000E-001 3.250483780E+000 -6.202374165E+001 8.726547992E+003
 4.023400000E-001 3.253704690E+000 -6.202052069E+001 8.715851466E+003
 4.023500000E-001 3.251611098E+000 -6.202374165E+001 8.727147797E+003
 4.023600000E-001 3.251933189E+000 -6.202374165E+001 8.713802131E+003
 4.023700000E-001 3.251933189E+000 -6.202052069E+001 8.714851790E+003
 4.023800000E-001 3.254993055E+000 -6.202052069E+001 8.709203624E+003
 4.023900000E-001 3.250805871E+000 -6.202374165E+001 8.716801157E+003
 4.024000000E-001 3.251772144E+000 -6.203018355E+001 8.713802131E+003
 4.024100000E-001 3.254832009E+000 -6.202374165E+001 8.720200054E+003
 4.024200000E-001 3.252899463E+000 -6.202374165E+001 8.718100735E+003
 4.024300000E-001 3.252738417E+000 -6.201729974E+001 8.718650557E+003
 4.024400000E-001 3.254509918E+000 -6.202052069E+001 8.711552862E+003
 4.024500000E-001 3.253704690E+000 -6.202052069E+001 8.715401612E+003
 4.024600000E-001 3.250644825E+000 -6.203018355E+001 8.706654452E+003
 4.024700000E-001 3.253060508E+000 -6.202374165E+001 8.727197781E+003
 4.024800000E-001 3.253382599E+000 -6.202374165E+001 8.715101709E+003
 4.024900000E-001 3.253704690E+000 -6.202052069E+001 8.718400638E+003
 4.025000000E-001 3.253704690E+000 -6.203018355E+001 8.724548641E+003
