TITLE     = "Versuch_09 | Versuch_09"
VARIABLES = "Time [s]"
"Kapazitiv 2 [mm]"
"Strom [A]"
"Kalibrator [Pa]"
"Cavity Pressure [Pa]"
ZONE T="Sensoren_03"
 STRANDID=0, SOLUTIONTIME=0
 I=40002, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE DOUBLE SINGLE DOUBLE )
 PASSIVEVARLIST=[4]
 4.016000000E-001 3.270453427E+000 -5.705381119E+001 1.598264158E+004
 4.016100000E-001 3.272224928E+000 -5.705703214E+001 1.597799309E+004
 4.016200000E-001 3.271258654E+000 -5.705703214E+001 1.598898952E+004
 4.016300000E-001 3.269326108E+000 -5.705059024E+001 1.597549390E+004
 4.016400000E-001 3.269487153E+000 -5.705381119E+001 1.596939588E+004
 4.016500000E-001 3.272708064E+000 -5.704736929E+001 1.599303821E+004
 4.016600000E-001 3.270453427E+000 -5.705381119E+001 1.597829299E+004
 4.016700000E-001 3.269809245E+000 -5.704736929E+001 1.597634363E+004
 4.016800000E-001 3.272869110E+000 -5.704736929E+001 1.596564710E+004
 4.016900000E-001 3.269970290E+000 -5.705703214E+001 1.598274155E+004
 4.017000000E-001 3.271097609E+000 -5.704736929E+001 1.597674350E+004
 4.017100000E-001 3.271097609E+000 -5.705059024E+001 1.597129527E+004
 4.017200000E-001 3.270453427E+000 -5.705059024E+001 1.597669351E+004
 4.017300000E-001 3.271097609E+000 -5.706025309E+001 1.596899601E+004
 4.017400000E-001 3.272708064E+000 -5.704736929E+001 1.597939264E+004
 4.017500000E-001 3.271741791E+000 -5.705381119E+001 1.596839621E+004
 4.017600000E-001 3.271741791E+000 -5.705381119E+001 1.596969579E+004
 4.017700000E-001 3.268842971E+000 -5.705381119E+001 1.597514402E+004
 4.017800000E-001 3.270292381E+000 -5.705703214E+001 1.597534395E+004
 4.017900000E-001 3.271097609E+000 -5.705059024E+001 1.598339134E+004
 4.018000000E-001 3.272224928E+000 -5.705059024E+001 1.597729332E+004
 4.018100000E-001 3.270453427E+000 -5.704736929E+001 1.597634363E+004
 4.018200000E-001 3.270775518E+000 -5.705381119E+001 1.596639686E+004
 4.018300000E-001 3.272063882E+000 -5.704736929E+001 1.598709014E+004
 4.018400000E-001 3.269326108E+000 -5.705703214E+001 1.597439426E+004
 4.018500000E-001 3.271419700E+000 -5.705059024E+001 1.597664353E+004
 4.018600000E-001 3.271258654E+000 -5.705703214E+001 1.597899277E+004
 4.018700000E-001 3.266588334E+000 -5.705381119E+001 1.597139523E+004
 4.018800000E-001 3.271097609E+000 -5.705059024E+001 1.598104210E+004
 4.018900000E-001 3.270936563E+000 -5.705381119E+001 1.598389118E+004
 4.019000000E-001 3.271258654E+000 -5.704736929E+001 1.598709014E+004
 4.019100000E-001 3.272224928E+000 -5.705703214E+001 1.597244489E+004
 4.019200000E-001 3.273835383E+000 -5.705381119E+001 1.598134200E+004
 4.019300000E-001 3.268681926E+000 -5.704736929E+001 1.597744327E+004
 4.019400000E-001 3.271741791E+000 -5.704736929E+001 1.597554389E+004
 4.019500000E-001 3.271258654E+000 -5.706347405E+001 1.597624366E+004
 4.019600000E-001 3.269809245E+000 -5.705703214E+001 1.597099536E+004
 4.019700000E-001 3.271419700E+000 -5.705059024E+001 1.597139523E+004
 4.019800000E-001 3.271580745E+000 -5.705059024E+001 1.597869286E+004
